Source,Sentence
Hemingway,"Then through this noise came another noise, a steady, racketing drone and they saw the sentry looking up, his knitted cap slanted back, and turning their heads and looking up they saw, high in the evening sky, three monoplanes in V formation, showing minute and silvery at that height where there still was sun, passing unbelievably quickly across the sky, their motors now throbbing steadily."
Hemingway,Robert Cohn was once middleweight boxing champion of Princeton.
Hemingway,"Do not think that I am very much impressed by that as a boxing title, but it meant a lot to Cohn."
Hemingway,"He cared nothing for boxing, in fact he disliked it, but he learned it painfully and thoroughly to counteract the feeling of inferiority and shyness he had felt on being treated as a Jew at Princeton."
Hemingway,"There was a certain inner comfort in knowing he could knock down anybody who was snooty to him, although, being very shy and a thoroughly nice boy, he never fought except in the gym."
Hemingway,He was Spider Kelly’s star pupil.
Hemingway,"Spider Kelly taught all his young gentlemen to box like featherweights, no matter whether they weighed one hundred and five or two hundred and five pounds."
Hemingway,But it seemed to fit Cohn.
Hemingway,He was really very fast.
Hemingway,He was so good that Spider promptly overmatched him and got his nose permanently flattened.
Hemingway,"This increased Cohn’s distaste for boxing, but it gave him a certain satisfaction of some strange sort, and it certainly improved his nose."
Hemingway,In his last year at Princeton he readtoo much and took to wearing spectacles.
Hemingway,I never met any one of his class who remembered him.
Hemingway,They did not even remember that he was middleweight boxing champion.
Hemingway,"I mistrust all frank and simple people, especially when their stories hold together, and I always had a suspicion that perhaps Robert Cohn had never been middleweight boxing champion, and that perhaps a horse had stepped on his face, or that maybe his mother had been frightened or seen something, or that he had, maybe, bumped into something as a young child, but I finally had somebody verify the story from Spider Kelly."
Hemingway,Spider Kelly not only remembered Cohn.
Hemingway,He had often wondered what hadbecome of him.
Hemingway,"Robert Cohn was a member, through his father, of one of the richest Jewish families in New York, and through his mother of one of the oldest."
Hemingway,"At the military school where he prepped for Princeton, and played a very good end on the football team, no one had made him race-conscious."
Hemingway,"No one had ever made him feel he was a Jew, and hence any different from anybody else, until he went to Princeton."
Hemingway,"He was a nice boy, a friendly boy, and very shy, and it made him bitter."
Hemingway,"He took it out in boxing, and he came out of Princeton with painful self-consciousness and the flattened nose, and was married by the first girl who was nice to him."
Hemingway,"He was married five years, had three children, lost most of the fifty thousand dollars his father left him, the balance of the estate having gone to his mother, hardened into a rather unattractive mould under domestic unhappiness with a rich wife; and just when he had made up his mind to leave his wife she left him and went off with a miniature-painter."
Hemingway,"As he had been thinking for months about leaving his wife and had not done it because it would be too cruel to deprive her of himself, her departure was a very healthful shock."
Lawrence,Connie helped him as much as she could.
Lawrence,At first she was thrilled.
Lawrence,"He talked everything over with her monotonously, insistently, persistently, and she had to respond with all her might."
Lawrence,It was as if her whole soul and body and sex had to rouse up and pass into theme stories of his.
Lawrence,This thrilled her and absorbed her.
Lawrence,Of physical life they lived very little.
Lawrence,She had to superintend the house.
Lawrence,"But the housekeeper had served Sir Geoffrey for many years, and the dried-up, elderly, superlatively correct female you could hardly call her a parlour-maid, or even a woman...who waited at table, had been in the house for forty years."
Lawrence,Even the very housemaids were no longer young.
Lawrence,"It was awful! What could you do with such a place, but leave it alone! All these endless rooms that nobody used, all the Midlands routine, the mechanical cleanliness and the mechanical order! Clifford had insisted on a new cook, an experienced woman who had served him in his rooms in London."
Lawrence,For the rest the place seemed run by mechanical anarchy.
Lawrence,"Everything went on in pretty good order, strict cleanliness, and strict punctuality; even pretty strict honesty."
Lawrence,"And yet, to Connie, it was a methodical anarchy."
Lawrence,No warmth of feeling united it organically.
Lawrence,The house seemed as dreary as a disused street.
Lawrence,What could she do but leave it alone?
Lawrence,So she left it alone.
Lawrence,"Miss Chatterley came sometimes, with her aristocratic thin face, and triumphed, finding nothing altered."
Lawrence,She would never forgive Connie for ousting her from her union in consciousness with her brother.
Lawrence,"It was she, Emma, who should be bringing forth the stories, these books, with him; the Chatterley stories, something new in the world, that THEY, the Chatterleys, had put there."
Lawrence,There was no other standard.
Lawrence,There was no organic connexion with the thought and expression that had gone before.
Lawrence,"Only something new in the world: the Chatterley books, entirely personal."
Lawrence,"Connie's father, where he paid a flying visit to Wragby, and in private to his daughter: As for Clifford's writing, it's smart, but there's NOTHING IN IT."
Lawrence,"It won't last! Connie looked at the burly Scottish knight who had done himself well all his life, and her eyes, her big, still-wondering blue eyes became vague."
Lawrence,Nothing in it! What did he mean by nothing in it?
Lawrence,"If the critics praised it, and Clifford's name was almost famous, and it even brought in money...what did her father mean by saying there was nothing in Clifford's writing?"
Lawrence,What else could there be?
Lawrence,"The Brangwens went home to Beldover, the wedding-party gathered at Shortlands, the Criches' home."
Lawrence,"It was a long, low old house, a sort of manor farm, that spread along the top of a slope just beyond the narrow little lake of Willey Water."
Lawrence,"Shortlands looked across a sloping meadow that might be a park, because of the large, solitary trees that stood here and there, across the water of the narrow lake, at the wooded hill that successfully hid the colliery valley beyond, but did not quite hide the rising smoke."
Lawrence,"Nevertheless, the scene was rural and picturesque, very peaceful, and the house had a charm of its own."
Lawrence,It was crowded now with the family and the wedding guests.
Lawrence,"The father, who was not well, withdrew to rest."
Lawrence,Gerald was host.
Lawrence,"He stood in the homely entrance hall, friendly and easy, attending to the men."
Lawrence,"He seemed to take pleasure in his social functions, he smiled, and was abundant in hospitality."
Lawrence,"The women wandered about in a little confusion, chased hither and thither by the three married daughters of the house."
Lawrence,"All the while there could be heard the characteristic, imperious voice of one Crich woman or another calling 'Helen, come here a minute,' 'Marjory, I want you--here.' 'Oh, I say, Mrs Witham--.' There was a great rustling of skirts, swift glimpses of smartly-dressed women, a child danced through the hall and back again, a maidservant came and went hurriedly."
Lawrence,"Meanwhile the men stood in calm little groups, chatting, smoking, pretending to pay no heed to the rustling animation of the women's world."
Lawrence,"But they could not really talk, because of the glassy ravel of women's excited, cold laughter and running voices."
Lawrence,"They waited, uneasy, suspended, rather bored."
Lawrence,"But Gerald remained as if genial and happy, unaware that he was waiting or unoccupied, knowing himself the very pivot of the occasion."
Lawrence,"They felt the rush of the sap in spring, they knew the wave which cannot halt, but every year throws forward the seed to begetting, and, falling back, leaves the young-born on the earth."
Lawrence,"They knew the intercourse between heaven and earth, sunshine drawn into the breast and bowels, the rain sucked up in the daytime, nakedness that comes under the wind in autumn, showing the birds' nests no longer worth hiding."
Wharton, Before my own time there was up I had learned to know what that meant.
Wharton,"Yet I had come in the degenerate day of trolley, bicycle and rural delivery, when communication was easy between the scattered mountain villages, and the bigger towns in the valleys, such as Bettsbridge and Shadd's Falls, had libraries, theatres and Y.M.C.A."
Wharton,halls to which the youth of the hills could descend for recreation.
Wharton,"But when winter shut down on Starkfield and the village lay under a sheet of snow perpetually renewed from the pale skies, I began to see what life there--or rather its negation--must have been in Ethan Frome's young manhood."
Wharton,"I had been sent up by my employers on a job connected with the big power-house at Corbury Junction, and a long-drawn carpenters' strike had so delayed the work that I found myself anchored at Starkfield--the nearest habitable spot--for the best part of the winter."
Wharton,"I chafed at first, and then, under the hypnotising effect of routine, gradually began to find a grim satisfaction in the life."
Wharton,During the early part of my stay I had been struck by the contrast between the vitality of the climate and the deadness of the community.
Wharton,"Day by day, after the December snows were over, a blazing blue sky poured down torrents of light and air on the white landscape, which gave them back in an intenser glitter."
Wharton,One would have supposed that such an atmosphere must quicken the emotions as well as the blood; but it seemed to produce no change except that of retarding still more the sluggish pulse of Starkfield.
Wharton,"When I had been there a little longer, and had seen this phase of crystal clearness followed by long stretches of sunless cold; when the storms of February had pitched their white tents about the devoted village and the wild cavalry of March winds had charged down to their support; I began to understand why Starkfield emerged from its six months' siege like a starved garrison capitulating without quarter."
Wharton,"Twenty years earlier the means of resistance must have been far fewer, and the enemy in command of almost all the lines of access between the beleaguered villages; and, considering these things, I felt the sinister force of Harmon's phrase: “Most of the smart ones get away.” But if that were the case, how could any combination of obstacles have hindered the flight of a man like Ethan Frome?"
Wharton,During my stay at Starkfield I lodged with a middle-aged widow colloquially known as Mrs. Ned Hale.
Wharton,"Mrs. Hale's father had been the village lawyer of the previous generation, and “lawyer Varnum's house,”  where my landlady still lived with her mother, was the most considerable mansion in the village."
Wharton,"It stood at one end of the main street, its classic portico and small-paned windows looking down a flagged path between Norway spruces to the slim white steeple of the Congregational church."
Wharton,"It was clear that the Varnum fortunes were at the ebb, but the two women did what they could to preserve a decent dignity; and Mrs. Hale, in particular, had a certain wan refinement not out of keeping with her pale old-fashioned house."
Wharton,"In the “best parlour,” with its black horse-hair and mahogany weakly illuminated by a gurgling Carcel lamp, I listened every evening to another and more delicately shaded version of the Starkfield chronicle."
Wharton,It was not that Mrs. Ned Hale felt
Wharton,"She was not unwilling to exercise this faculty, and I had great hopes of getting from her the missing facts of Ethan Frome's story, or rather such a key to his character as should co-ordinate the facts I knew."
Wharton,Her mind was a store-house of innocuous anecdote and any question about her acquaintances brought forth a volume of detail; but on the subject of Ethan Frome I found her unexpectedly reticent.
Wharton,"There was no hint of disapproval in her reserve; I merely felt in her an insurmountable reluctance to speak of him or his affairs, a low “Yes, I knew them both..."
Wharton,it was awful...” seeming to be the utmost concession that her distress could make to my curiosity.
Wharton,"So marked was the change in her manner, such depths of sad initiation did it imply, that, with some doubts as to my delicacy, I put the case anew to my village oracle, Harmon Gow; but got for my pains only an uncomprehending grunt."
Wharton,"“Ruth Varnum was always as nervous as a rat; and, come to think of it, she was the first one to see 'em after they was picked up."
Wharton,"It happened right below lawyer Varnum's, down at the bend of the Corbury road, just round about the time that Ruth got engaged to Ned Hale."
Wharton,"The young folks was all friends, and I guess she just can't bear to talk about it."
Wharton,"She's had troubles enough of her own.”  All the dwellers in Starkfield, as in more notable communities, had had troubles enough of their own to make them comparatively indifferent to those of their neighbours; and though all conceded that Ethan Frome's had been beyond the common measure, no one gave me an explanation of the look in his face which, as I persisted in thinking, neither poverty nor physical suffering could have put there."
Wharton,"Nevertheless, I might have contented myself with the story pieced together from these hints had it not been for the provocation of Mrs."
Wharton,"Hale's silence, and--a little later--for the accident of personal contact with the man."
Wharton,He did not in the least wish the future Mrs.
Wharton,Newland Archer to be a simpleton.
Wharton,"He meant her (thanks to his enlightening companionship) to develop a social tact and readiness of wit enabling her to hold her own with the most popular married women of the ""younger set,"" in which it was the recognised custom to attract masculine homage while playfully discouraging it."
Wharton,"If he had probed to the bottom of his vanity (as he sometimes nearly did) he would have found there the wish that his wife should be as worldly-wise and as eager to please as the married lady whose charms had held his fancy through two mildly agitated years; without, of course, any hint of the frailty which had so nearly marred that unhappy being's life, and had disarranged his own plans for a whole winter."
Wharton,"How this miracle of fire and ice was to be created, and to sustain itself in a harsh world, he had never taken the time to think out; but he was content to hold his view without analysing it, since he knew it was that of all the carefully-brushed, white-waistcoated, button-hole-flowered gentlemen who succeeded each other in the club box, exchanged friendly greetings with him, and turned their opera-glasses critically on the circle of ladies who were the product of the system."
Wharton,"In matters intellectual and artistic Newland Archer felt himself distinctly the superior of these chosen specimens of old New York gentility; he had probably read more, thought more, and even seen a good deal more of the world, than any other man of the number."
Wharton,"Singly they betrayed their inferiority; but grouped together they represented ""New York,"" and the habit of masculine solidarity made him accept their doctrine on all the issues called moral."
Wharton,He instinctively felt that in this respect it would be troublesome--and also rather bad form--to strike out for himself.
Wharton,"But they had; they undoubtedly had; for the low-toned comments behind him left no doubt in Archer's mind that the young woman was May Welland's cousin, the cousin always referred to in the family as ""poor Ellen Olenska.""  Archer knew that she had suddenly arrived from Europe a day or two previously; he had even heard from Miss Welland (not disapprovingly) that she had been to see poor Ellen, who was staying with old Mrs. Mingott."
Wharton,"Archer entirely approved of family solidarity, and one of the qualities he most admired in the Mingotts was their resolute championship of the few black sheep that their blameless stock had produced."
Wharton,"There was nothing mean or ungenerous in the young man's heart, and he was glad that his future wife should not be restrained by false prudery from being kind (in private) to her unhappy cousin; but to receive Countess Olenska in the family circle was a different thing from producing her in public, at the Opera of all places, and in the very box with the young girl whose engagement to him, Newland Archer, was to be announced within a few weeks."
Wharton,"No, he felt as old Sillerton Jackson felt; he did not think the Mingotts would have tried it on! "
Fitzgerald,"He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that."
Fitzgerald,"In consequence, I’m inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores."
Fitzgerald,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret grief’s of wild, unknown men."
Fitzgerald,"Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions."
Fitzgerald,Reserving judgments is a matter of infinite hope.
Fitzgerald,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parceled out unequally at birth."
Fitzgerald,"And, after boasting this way of my tolerance, I come to the admission that it has a limit."
Fitzgerald,"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on."
Fitzgerald,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.
Fitzgerald,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction—Gatsby, who represented everything for which I have an unaffected scorn."
Fitzgerald,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him; some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away."
Fitzgerald,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again."
Fitzgerald,"No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men."
Fitzgerald,"We drove for a long time over a bright level countryside, just a road and a tree and a shack and a tree, and then suddenly along a winding twist of woodland."
Fitzgerald,I could feel even in the darkness that the trees of the woodland were green-— that it was all different from the dusty olive-tint of California.
Fitzgerald,"Somewhere we passed a negro driving three cows ahead of him, and they mooed as he scatted them to the side of the road."
Fitzgerald,"They were real cows, with warm, fresh, silky flanks, and the negro grew gradually real out of the darkness with his big brown eyes staring at us close to the car, as Wylie gave him  “Let’s all ask for our money back,” he suggested."
Fitzgerald,"His dark eyes took me in, and I wondered what they would look like if he fell in love."
Fitzgerald,"They were kind, aloof and, though they often reasoned with you gently, somewhat superior."
Fitzgerald,It was no fault of theirs if they saw He darted in and out of the role of “one of the boys” with dexterity—but on the whole I should say he wasn’t one of them.
Fitzgerald,"But he knew how to shut up, how to draw into the background, how to listen."
Fitzgerald,"From where he stood (and though he was not a tall man, it always seemed high up) he watched the multitudinous practicalities of his world like a proud young shepherd to whom night and day had never mattered."
Fitzgerald,"He was born sleepless, without a talent so much."
Fitzgerald,"We sat in unembarrassed silence—I had known him since he became Father’s partner a dozen years ago, when I was seven and Stahr was twenty-two."
Fitzgerald,"Wylie was across the aisle and I didn’t know whether or not to introduce them, but Stahr kept turning his ring so abstractedly that he made me feel young and invisible, and I didn’t dare."
Fitzgerald,"I never dared look quite away from him or quite at him, unless I had something important to say—and I knew he affected many other people in the same manner."
Fitzgerald,"Indeed, of all the region only the beach stirred with activity."
Fitzgerald,"Three British nannies sat knitting the slow pattern of Victorian England, the pattern of the forties, the sixties, and the eighties, into sweaters and socks, to the tune of gossip as formalized as incantation; closer to the sea a dozen persons kept house under striped umbrellas, while their dozen children pursued unintimidated fish through the shallows or lay naked and glistening with cocoanut oil out in the sun."
Fitzgerald,As Rosemary came onto the beach a boy of twelve ran past her and dashed into the sea with exultant cries.
Fitzgerald,"Feeling the impactive scrutiny of strange faces, she took off her bathrobe and followed."
Fitzgerald,"She floated face down for a few yards and find- ing it shallow staggered to her feet and plodded forward, dragging slim legs like weights against the resistance of the water."
Fitzgerald,"When it was about breast high, she glanced back toward shore: a bald man in a monocle and a pair of tights, his tufted chest thrown out, his brash navel sucked in, was regarding her attentively."
Fitzgerald,"As Rosemary returned the gaze the man dis- lodged the monocle, which went into hiding amid the facetious whiskers of his chest, and poured himself a glass of something from a bottle in his hand."
Fitzgerald,Rosemary laid her face on the water and swam a choppy little four-beat crawl out to the raft.
Fitzgerald,"The water reached up for her, pulled her down tenderly out of the heat, seeped in her hair and ran into the comers of her body."
Fitzgerald,"She turned round and round in it, embracing it, wallowing in it."
Fitzgerald,"Reaching the raft she was out of breath, but a tanned woman with very white teeth looked down at her, and Rosemary, suddenly conscious of the raw whiteness of her own body, turned on her back and drifted toward shore."
Fitzgerald,The hairy man holding the bottle spoke to her as she came out.
Fitzgerald,"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worthwhile."
Fitzgerald,"His father, an ineffectual, inarticulate man with a taste for Byron and a habit of drowsing over the Encyclopedia Britannica, grew wealthy at thirty through the death of two elder brothers, successful Chicago brokers, and in the first flush of feeling that the world was his, went to Bar Harbor and met Beatrice O’Hara."
Fitzgerald,"In consequence, Stephen Blaine handed down to posterity his height of just under six feet and his tendency to waver at crucial moments, these two abstractions appearing in his son Amory."
Fitzgerald,"For many years he hovered in the background of his family’s life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn’t and couldn’t understand her."
Fitzgerald,"But Beatrice Blaine! There was a woman! Early pictures taken on her father’s estate at Lake Geneva, Wisconsin, or in Rome at the Sacred Heart Convent—an educational extravagance that in her youth was only for the daughters of the exceptionally wealthy—showed the exquisite delicacy of her features, the consummate art and simplicity of her clothes."
Fitzgerald,"A brilliant education she had—her youth passed in renaissance glory, she was versed in the latest gossip of the Older Roman Families; known by name as a fabulously wealthy American girl to Cardinal Vitori and Queen Margherita and more subtle celebrities that one must have had some culture even to have heard of."
Fitzgerald,"She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna."
Fitzgerald,"All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud."
Fitzgerald,The sixty acres of the estate were dotted with old and new summer houses and many fountains and white benches that came suddenly into sight from foliage-hung hiding-places; there was a great and constantly increasing family of white cats that prowled the many flowerbeds and were silhouetted suddenly at night against the darkening trees.
Fitzgerald,"It was on one of the shadowy paths that Beatrice at last captured Amory, after Mr. Blaine had, as usual, retired for the evening to his private library."
Fitzgerald,"After reproving him for avoiding her, she took him for a long tête-à-tête in the moonlight."
Fitzgerald,"He could not reconcile himself to her beauty, that was mother to his own, the exquisite neck and shoulders, the grace of a fortunate woman of thirty."
Austen,"In respect of her art generally, Mr. Goldwin Smith has truly observed that “metaphor has been exhausted in depicting the perfection of it, combined with the narrowness of her field;” and he has justly added that we need not go beyond her own comparison to the art of a miniature painter."
Austen,"To make this latter observation quite exact we must not use the term miniature in its restricted sense, and must think rather of Memling at one end of the history of painting and Meissonier at the other, than of Cosway or any of his kind."
Austen,And I am not so certain that I should myself use the word “narrow” in connection with her.
Austen,"If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness."
Austen,She does not touch what she did not feel herself called to paint; I am not so sure that she could not have painted what she did not feel herself called to touch.
Austen,"It is at least remarkable that in two very short periods of writing--one of about three years, and another of not much more than five--she executed six capital works, and has not left a single failure."
Austen,It is possible that the romantic paste in her composition was defective: we must always remember that hardly anybody born in her decade--that of the eighteenth-century seventies--independently exhibited the full romantic quality.
Austen,"Even Scott required hill and mountain and ballad, even Coleridge metaphysics and German to enable them to chip the classical shell."
Austen,"Miss Austen was an English girl, brought up in a country retirement, at the time when ladies went back into the house if there was a white frost which might pierce their kid shoes, when a sudden cold was the subject of the gravest fears, when their studies, their ways, their conduct were subject to all those fantastic limits and restrictions against which Mary Wollstonecraft protested with better general sense than particular taste or judgment."
Austen,"Miss Austen, too, drew back when the white frost touched her shoes; but I think she would have made a pretty good journey even in a black one."
Austen,"No sooner was his father’s funeral over, than Mrs. John Dashwood, without sending any notice of her intention to her mother-in-law, arrived with her child and their attendants."
Austen,"No one could dispute her right to come; the house was her husband’s from the moment of his father’s decease; but the indelicacy of her conduct was so much the greater, and to a woman in Mrs."
Austen,"Dashwood’s situation, with only common feelings, must have been highly unpleasing;—but in _her_ mind there was a sense of honor so keen, a generosity so romantic, that any offence of the kind, by whomsoever given or received, was to her a source of immovable disgust."
Austen,"Mrs. John Dashwood had never been a favourite with any of her husband’s family; but she had had no opportunity, till the present, of showing them with how little attention to the comfort of other people she could act when occasion required it."
Austen,"So acutely did Mrs. Dashwood feel this ungracious behaviour, and so earnestly did she despise her daughter-in-law for it, that, on the arrival of the latter, she would have quitted the house for ever, had not the entreaty of her eldest girl induced her first to reflect on the propriety of going, and her own tender love for all her three children determined her afterwards to stay, and for their sakes avoid a breach with their brother."
Austen,"Elinor, this eldest daughter, whose advice was so effectual, possessed a strength of understanding, and coolness of judgment, which qualified her, though only nineteen, to be the counsellor of her mother, and enabled her frequently to counteract, to the advantage of them all, that eagerness of mind in Mrs."
Austen,Dashwood which must generally have led to imprudence.
Austen,"She had an excellent heart;—her disposition was affectionate, and her feelings were strong; but she knew how to govern them: it was a knowledge which her mother had yet to learn; and which one of her sisters had resolved never to be taught."
Austen,The event had every promise of happiness for her friend.
Austen,"Mr. Weston was a man of unexceptionable character, easy fortune, suitable age, and pleasant manners; and there was some satisfaction in considering with what self-denying, generous friendship she had always wished and promoted the match; but it was a black morning’s work for her."
Austen,The want of Miss Taylor would be felt every hour of every day.
Austen,"She recalled her past kindness—the kindness, the affection of sixteen years—how she had taught and how she had played with her from five years old—how she had devoted all her powers to attach and amuse her in health—and how nursed her through the various illnesses of childhood."
Austen,"A large debt of gratitude was owing here; but the intercourse of the last seven years, the equal footing and perfect unreserve which had soon followed Isabella’s marriage, on their being left to each other, was yet a dearer, tenderer recollection."
Austen,"She had been a friend and companion such as few possessed: intelligent, well-informed, useful, gentle, knowing all the ways of the family, interested in all its concerns, and peculiarly interested in herself, in every pleasure, every scheme of hers—one to whom she could speak every thought as it arose, and who had such an affection for her as could never find fault."
Austen,How was she to bear the change?
Austen,It was true that her friend was going only half a mile from them; but Emma was aware that great must be the difference between a Mrs.
Austen,"Weston, only half a mile from them, and a Miss Taylor in the house; and with all her advantages, natural and domestic, she was now in great danger of suffering from intellectual solitude."
Austen,"She dearly loved her father, but he was no companion for her."
Austen,"He could not meet her in conversation, rational or playful."
Faulkner,"When the shadow of the sash appeared on the curtains it was between seven and eight o'clock and then I was in time again, hearing the watch."
Faulkner,It was Grandfather's and when Father gave it to me he said I give you the mausoleum of all hope and desire; it's rather excruciatingly apt that you will use it to gain the reductio ad absurdum of all human experience which can fit your individual needs no better than it fitted his or his father's.
Faulkner,"I give it to you not that you may remember time, but that you might forget it now and then for a moment and not spend all your breath trying to conquer it."
Faulkner,Because no battle is ever won he said.
Faulkner,They are not even fought.
Faulkner,"The field only reveals to man his own folly and despair, and victory is an illusion of philosophers and fools."
Faulkner,It was propped against the collar box and I lay listening to it.
Faulkner,"Hearing it, that is."
Faulkner,I don't suppose anybody ever deliberately listens to a watch or a clock.
Faulkner,You don't have to.
Faulkner,"You can be oblivious to the sound for a long while, then in a second of ticking it can create in the mind unbroken the long diminishing parade of time you didn't hear."
Faulkner,"Like Father said down the long and lonely light-rays you might see Jesus walking, like."
Faulkner,"And the good Saint Francis that said Little Sister Death, that never had a sister."
Faulkner,Through the wall I heard Shreve's bed-springs and then his slippers on the floor hishing.
Faulkner,I got up and went to the dresser and slid my hand along it and touched the watch and turned it face-down and went back to bed.
Faulkner,"But the shadow of the sash was still there and I had learned to tell almost to the minute, so I'd have to turn my back to it, feeling the eyes animals used to have in the back of their heads when it was on top, itching."
Faulkner,It's always the idle habits you acquire which you will regret.
Faulkner,Father said that.
Faulkner,That Christ was not crucified: he was worn away by a minute clicking of little wheels.
Faulkner,That had no sister.
Faulkner,"And so as soon as I knew I couldn't see it, I began to wonder what time it was."
Faulkner,Father said that constant speculation regarding the position of mechanical hands on an arbitrary dial which is a symptom of mind-function.
Faulkner,Excrement Father said like sweating.
Faulkner,And I saying All right.
Faulkner,Wonder.
Faulkner,Go on and wonder.
Faulkner,There were perhaps five families there when Lena arrived.
Faulkner,"There was a track and a station, and once a day a mixed train fled shrieking through it."
Faulkner,"The train could be stopped with a red flag, but by ordinary it appeared out of the devastated hills with apparitionlike suddenness and wailing like a banshee, athwart and past that little less-than-village like a forgotten bead from a broken string."
Faulkner,The brother was twenty years her senior.
Faulkner,She hardly remembered him at all when she came to live with him.
Faulkner,He lived in a four room and unpainted house with his labor- and child-ridden wife.
Faulkner,For almost half of every year the sister-in-law was either lying in or recovering.
Faulkner,During this time Lena did all the housework and took care of the other children.
Faulkner,"Later she, told herself, ‘I reckon that’s why I got one so quick myself.’  She slept in a lean-to room at the back of the house."
Faulkner,"It had a window which she learned to open and close again in the dark without making a sound, even though there also slept in the lean-to room at first her oldest nephew and then the two oldest and then the three."
Faulkner,She had lived there eight years before she opened the window for the first time.
Faulkner,She had not opened it a dozen times hardly before she discovered that she should not have opened it at all.
Faulkner,"She said to herself, ‘That’s just my luck.’  The sister-in-law told the brother."
