,Author,Sentence
96,1,"Dashwood, how excessively comfortable your mother-in-lawand her daughters may live on the interest of seven thousand pounds,besides the thousand pounds belonging to each of the girls, whichbrings them in fifty pounds a year a-piece, and, of course, they willpay their mother for their board out of it."
97,1,"Altogether, they will havefive hundred a-year amongst them, and what on earth can four women wantfor more than that?—They will live so cheap! Their housekeeping will benothing at all."
98,1,"They will have no carriage, no horses, and hardly anyservants; they will keep no company, and can have no expenses of anykind! Only conceive how comfortable they will be! Five hundred a year!I am sure I cannot imagine how they will spend half of it; and as toyour giving them more, it is quite absurd to think of it."
99,1,"They will bemuch more able to give _you_ something.”“Upon my word,” said Mr."
100,1,"Dashwood, “I believe you are perfectly right.My father certainly could mean nothing more by his request to me thanwhat you say."
101,1,"I clearly understand it now, and I will strictly fulfilmy engagement by such acts of assistance and kindness to them as youhave described."
102,1,When my mother removes into another house my servicesshall be readily given to accommodate her as far as I can.
103,1,"Some littlepresent of furniture too may be acceptable then.”“Certainly,” returned Mrs."
104,1,John Dashwood.
105,1,"“But, however, _one_ thingmust be considered."
106,1,"When your father and mother moved to Norland,though the furniture of Stanhill was sold, all the china, plate, andlinen was saved, and is now left to your mother."
107,1,Her house willtherefore be almost completely fitted up as soon as she takes it.”“That is a material consideration undoubtedly.
108,1,A valuable legacyindeed! And yet some of the plate would have been a very pleasantaddition to our own stock here.”“Yes; and the set of breakfast china is twice as handsome as whatbelongs to this house.
109,1,"A great deal too handsome, in my opinion, forany place _they_ can ever afford to live in."
110,1,"But, however, so it is.Your father thought only of _them_."
111,1,"And I must say this: that you oweno particular gratitude to him, nor attention to his wishes; for wevery well know that if he could, he would have left almost everythingin the world to _them_.”This argument was irresistible."
112,1,"It gave to his intentions whatever ofdecision was wanting before; and he finally resolved, that it would beabsolutely unnecessary, if not highly indecorous, to do more for thewidow and children of his father, than such kind of neighbourly acts ashis own wife pointed out.CHAPTER III.Mrs."
113,1,"Dashwood remained at Norland several months; not from anydisinclination to move when the sight of every well known spot ceasedto raise the violent emotion which it produced for a while; for whenher spirits began to revive, and her mind became capable of some otherexertion than that of heightening its affliction by melancholyremembrances, she was impatient to be gone, and indefatigable in herinquiries for a suitable dwelling in the neighbourhood of Norland; forto remove far from that beloved spot was impossible."
114,1,"But she could hearof no situation that at once answered her notions of comfort and ease,and suited the prudence of her eldest daughter, whose steadier judgmentrejected several houses as too large for their income, which her motherwould have approved.Mrs."
115,1,"Dashwood had been informed by her husband of the solemn promise onthe part of his son in their favour, which gave comfort to his lastearthly reflections."
116,1,"She doubted the sincerity of this assurance nomore than he had doubted it himself, and she thought of it for herdaughters’ sake with satisfaction, though as for herself she waspersuaded that a much smaller provision than 7000£ would support her inaffluence."
117,1,"For their brother’s sake, too, for the sake of his ownheart, she rejoiced; and she reproached herself for being unjust to hismerit before, in believing him incapable of generosity."
118,1,"His attentivebehaviour to herself and his sisters convinced her that their welfarewas dear to him, and, for a long time, she firmly relied on theliberality of his intentions.The contempt which she had, very early in their acquaintance, felt forher daughter-in-law, was very much increased by the farther knowledgeof her character, which half a year’s residence in her family afforded;and perhaps in spite of every consideration of politeness or maternalaffection on the side of the former, the two ladies might have found itimpossible to have lived together so long, had not a particularcircumstance occurred to give still greater eligibility, according tothe opinions of Mrs."
119,1,"Dashwood, to her daughters’ continuance atNorland.This circumstance was a growing attachment between her eldest girl andthe brother of Mrs."
120,1,"John Dashwood, a gentleman-like and pleasing youngman, who was introduced to their acquaintance soon after his sister’sestablishment at Norland, and who had since spent the greatest part ofhis time there.Some mothers might have encouraged the intimacy from motives ofinterest, for Edward Ferrars was the eldest son of a man who had diedvery rich; and some might have repressed it from motives of prudence,for, except a trifling sum, the whole of his fortune depended on thewill of his mother."
121,1,But Mrs.
122,1,Dashwood was alike uninfluenced by eitherconsideration.
123,1,"It was enough for her that he appeared to be amiable,that he loved her daughter, and that Elinor returned the partiality."
124,1,"Itwas contrary to every doctrine of hers that difference of fortuneshould keep any couple asunder who were attracted by resemblance ofdisposition; and that Elinor’s merit should not be acknowledged byevery one who knew her, was to her comprehension impossible.Edward Ferrars was not recommended to their good opinion by anypeculiar graces of person or address."
125,1,"He was not handsome, and hismanners required intimacy to make them pleasing."
126,1,"He was too diffidentto do justice to himself; but when his natural shyness was overcome,his behaviour gave every indication of an open, affectionate heart."
127,1,"Hisunderstanding was good, and his education had given it solidimprovement."
128,1,"But he was neither fitted by abilities nor disposition toanswer the wishes of his mother and sister, who longed to see himdistinguished—as—they hardly knew what."
129,1,They wanted him to make a finefigure in the world in some manner or other.
130,1,"His mother wished tointerest him in political concerns, to get him into parliament, or tosee him connected with some of the great men of the day."
131,1,Mrs.
132,1,"JohnDashwood wished it likewise; but in the mean while, till one of thesesuperior blessings could be attained, it would have quieted herambition to see him driving a barouche."
133,1,But Edward had no turn forgreat men or barouches.
134,1,All his wishes centered in domestic comfort andthe quiet of private life.
135,1,Fortunately he had a younger brother who wasmore promising.Edward had been staying several weeks in the house before he engagedmuch of Mrs.
136,1,"Dashwood’s attention; for she was, at that time, in suchaffliction as rendered her careless of surrounding objects."
137,1,"She sawonly that he was quiet and unobtrusive, and she liked him for it."
138,1,"Hedid not disturb the wretchedness of her mind by ill-timed conversation.She was first called to observe and approve him farther, by areflection which Elinor chanced one day to make on the differencebetween him and his sister."
139,1,"It was a contrast which recommended himmost forcibly to her mother.“It is enough,” said she; “to say that he is unlike Fanny is enough."
140,1,Itimplies everything amiable.
141,1,"I love him already.”“I think you will like him,” said Elinor, “when you know more of him.”“Like him!” replied her mother with a smile."
142,1,“I feel no sentiment ofapprobation inferior to love.”“You may esteem him.”“I have never yet known what it was to separate esteem and love.”Mrs.
143,1,Dashwood now took pains to get acquainted with him.
144,1,"Her mannerswere attaching, and soon banished his reserve."
145,1,"She speedilycomprehended all his merits; the persuasion of his regard for Elinorperhaps assisted her penetration; but she really felt assured of hisworth: and even that quietness of manner, which militated against allher established ideas of what a young man’s address ought to be, was nolonger uninteresting when she knew his heart to be warm and his temperaffectionate.No sooner did she perceive any symptom of love in his behaviour toElinor, than she considered their serious attachment as certain, andlooked forward to their marriage as rapidly approaching.“In a few months, my dear Marianne,” said she, “Elinor will, in allprobability be settled for life."
146,1,"We shall miss her; but _she_ will behappy.”“Oh! Mama, how shall we do without her?”“My love, it will be scarcely a separation."
147,1,"We shall live within a fewmiles of each other, and shall meet every day of our lives."
148,1,"You willgain a brother, a real, affectionate brother."
149,1,I have the highestopinion in the world of Edward’s heart.
150,1,"But you look grave, Marianne;do you disapprove your sister’s choice?”“Perhaps,” said Marianne, “I may consider it with some surprise."
151,1,"Edwardis very amiable, and I love him tenderly."
152,1,But yet—he is not the kind ofyoung man—there is something wanting—his figure is not striking; it hasnone of that grace which I should expect in the man who could seriouslyattach my sister.
153,1,"His eyes want all that spirit, that fire, which atonce announce virtue and intelligence."
154,1,"And besides all this, I amafraid, Mama, he has no real taste."
155,1,"Music seems scarcely to attracthim, and though he admires Elinor’s drawings very much, it is not theadmiration of a person who can understand their worth."
156,1,"It is evident,in spite of his frequent attention to her while she draws, that in facthe knows nothing of the matter."
157,1,"He admires as a lover, not as aconnoisseur."
158,1,"To satisfy me, those characters must be united."
159,1,I couldnot be happy with a man whose taste did not in every point coincidewith my own.
160,1,"He must enter into all my feelings; the same books, thesame music must charm us both."
161,1,"Oh! mama, how spiritless, how tame wasEdward’s manner in reading to us last night! I felt for my sister mostseverely."
162,1,"Yet she bore it with so much composure, she seemed scarcelyto notice it."
163,1,I could hardly keep my seat.
164,1,"To hear those beautifullines which have frequently almost driven me wild, pronounced with suchimpenetrable calmness, such dreadful indifference!”“He would certainly have done more justice to simple and elegant prose.I thought so at the time; but you _would_ give him Cowper.”“Nay, Mama, if he is not to be animated by Cowper!—but we must allowfor difference of taste."
165,1,"Elinor has not my feelings, and therefore shemay overlook it, and be happy with him."
166,1,"But it would have broke _my_heart, had I loved him, to hear him read with so little sensibility.Mama, the more I know of the world, the more am I convinced that Ishall never see a man whom I can really love."
167,1,"I require so much! Hemust have all Edward’s virtues, and his person and manners mustornament his goodness with every possible charm.”“Remember, my love, that you are not seventeen."
168,1,It is yet too early inlife to despair of such a happiness.
169,1,"Why should you be less fortunatethan your mother? In one circumstance only, my Marianne, may yourdestiny be different from hers!”CHAPTER IV.“What a pity it is, Elinor,” said Marianne, “that Edward should have notaste for drawing.”“No taste for drawing!” replied Elinor, “why should you think so? Hedoes not draw himself, indeed, but he has great pleasure in seeing theperformances of other people, and I assure you he is by no meansdeficient in natural taste, though he has not had opportunities ofimproving it."
170,1,"Had he ever been in the way of learning, I think he wouldhave drawn very well."
171,1,"He distrusts his own judgment in such matters somuch, that he is always unwilling to give his opinion on any picture;but he has an innate propriety and simplicity of taste, which ingeneral direct him perfectly right.”Marianne was afraid of offending, and said no more on the subject; butthe kind of approbation which Elinor described as excited in him by thedrawings of other people, was very far from that rapturous delight,which, in her opinion, could alone be called taste."
172,1,"Yet, though smilingwithin herself at the mistake, she honoured her sister for that blindpartiality to Edward which produced it.“I hope, Marianne,” continued Elinor, “you do not consider him asdeficient in general taste."
173,1,"Indeed, I think I may say that you cannot,for your behaviour to him is perfectly cordial, and if _that_ were youropinion, I am sure you could never be civil to him.”Marianne hardly knew what to say."
174,1,"She would not wound the feelings ofher sister on any account, and yet to say what she did not believe wasimpossible."
175,1,"At length she replied:“Do not be offended, Elinor, if my praise of him is not in every thingequal to your sense of his merits."
176,1,"I have not had so many opportunitiesof estimating the minuter propensities of his mind, his inclinationsand tastes, as you have; but I have the highest opinion in the world ofhis goodness and sense."
177,1,"I think him every thing that is worthy andamiable.”“I am sure,” replied Elinor, with a smile, “that his dearest friendscould not be dissatisfied with such commendation as that."
178,1,"I do notperceive how you could express yourself more warmly.”Marianne was rejoiced to find her sister so easily pleased.“Of his sense and his goodness,” continued Elinor, “no one can, Ithink, be in doubt, who has seen him often enough to engage him inunreserved conversation."
179,1,The excellence of his understanding and hisprinciples can be concealed only by that shyness which too often keepshim silent.
180,1,"You know enough of him to do justice to his solid worth.But of his minuter propensities, as you call them you have frompeculiar circumstances been kept more ignorant than myself."
181,1,"He and Ihave been at times thrown a good deal together, while you have beenwholly engrossed on the most affectionate principle by my mother."
182,1,"Ihave seen a great deal of him, have studied his sentiments and heardhis opinion on subjects of literature and taste; and, upon the whole, Iventure to pronounce that his mind is well-informed, enjoyment of booksexceedingly great, his imagination lively, his observation just andcorrect, and his taste delicate and pure."
183,1,His abilities in everyrespect improve as much upon acquaintance as his manners and person.
184,1,"Atfirst sight, his address is certainly not striking; and his person canhardly be called handsome, till the expression of his eyes, which areuncommonly good, and the general sweetness of his countenance, isperceived."
185,1,"At present, I know him so well, that I think him reallyhandsome; or at least, almost so."
186,1,"What say you, Marianne?”“I shall very soon think him handsome, Elinor, if I do not now."
187,1,"Whenyou tell me to love him as a brother, I shall no more see imperfectionin his face, than I now do in his heart.”Elinor started at this declaration, and was sorry for the warmth shehad been betrayed into, in speaking of him."
188,1,She felt that Edward stoodvery high in her opinion.
189,1,She believed the regard to be mutual; but sherequired greater certainty of it to make Marianne’s conviction of theirattachment agreeable to her.
190,1,"She knew that what Marianne and her motherconjectured one moment, they believed the next—that with them, to wishwas to hope, and to hope was to expect."
191,1,"She tried to explain the realstate of the case to her sister.“I do not attempt to deny,” said she, “that I think very highly ofhim—that I greatly esteem, that I like him.”Marianne here burst forth with indignation—“Esteem him! Like him! Cold-hearted Elinor! Oh! worse thancold-hearted! Ashamed of being otherwise."
192,1,"Use those words again, and Iwill leave the room this moment.”Elinor could not help laughing."
193,1,"“Excuse me,” said she; “and be assuredthat I meant no offence to you, by speaking, in so quiet a way, of myown feelings."
194,1,"Believe them to be stronger than I have declared; believethem, in short, to be such as his merit, and the suspicion—the hope ofhis affection for me may warrant, without imprudence or folly."
195,1,Butfarther than this you must _not_ believe.
196,1,I am by no means assured ofhis regard for me.
197,1,"There are moments when the extent of it seemsdoubtful; and till his sentiments are fully known, you cannot wonder atmy wishing to avoid any encouragement of my own partiality, bybelieving or calling it more than it is."
198,1,In my heart I feellittle—scarcely any doubt of his preference.
199,1,But there are other pointsto be considered besides his inclination.
200,1,He is very far from beingindependent.
201,1,"What his mother really is we cannot know; but, fromFanny’s occasional mention of her conduct and opinions, we have neverbeen disposed to think her amiable; and I am very much mistaken ifEdward is not himself aware that there would be many difficulties inhis way, if he were to wish to marry a woman who had not either a greatfortune or high rank.”Marianne was astonished to find how much the imagination of her motherand herself had outstripped the truth.“And you really are not engaged to him!” said she."
202,1,“Yet it certainlysoon will happen.
203,1,But two advantages will proceed from this delay.
204,1,"_I_shall not lose you so soon, and Edward will have greater opportunity ofimproving that natural taste for your favourite pursuit which must beso indispensably necessary to your future felicity."
205,1,"Oh! if he should beso far stimulated by your genius as to learn to draw himself, howdelightful it would be!”Elinor had given her real opinion to her sister."
206,1,She could not considerher partiality for Edward in so prosperous a state as Marianne hadbelieved it.
207,1,"There was, at times, a want of spirits about him which, ifit did not denote indifference, spoke of something almost asunpromising."
208,1,"A doubt of her regard, supposing him to feel it, need notgive him more than inquietude."
209,1,It would not be likely to produce thatdejection of mind which frequently attended him.
210,1,A more reasonablecause might be found in the dependent situation which forbade theindulgence of his affection.
211,1,"She knew that his mother neither behavedto him so as to make his home comfortable at present, nor to give himany assurance that he might form a home for himself, without strictlyattending to her views for his aggrandizement."
212,1,"With such a knowledge asthis, it was impossible for Elinor to feel easy on the subject."
213,1,"She wasfar from depending on that result of his preference of her, which hermother and sister still considered as certain."
214,1,"Nay, the longer theywere together the more doubtful seemed the nature of his regard; andsometimes, for a few painful minutes, she believed it to be no morethan friendship.But, whatever might really be its limits, it was enough, when perceivedby his sister, to make her uneasy, and at the same time, (which wasstill more common,) to make her uncivil."
215,1,"She took the first opportunityof affronting her mother-in-law on the occasion, talking to her soexpressively of her brother’s great expectations, of Mrs."
216,1,"Ferrars’sresolution that both her sons should marry well, and of the dangerattending any young woman who attempted to _draw him in;_ that Mrs.Dashwood could neither pretend to be unconscious, nor endeavor to becalm."
217,1,"She gave her an answer which marked her contempt, and instantlyleft the room, resolving that, whatever might be the inconvenience orexpense of so sudden a removal, her beloved Elinor should not beexposed another week to such insinuations.In this state of her spirits, a letter was delivered to her from thepost, which contained a proposal particularly well timed."
218,1,"It was theoffer of a small house, on very easy terms, belonging to a relation ofher own, a gentleman of consequence and property in Devonshire."
219,1,"Theletter was from this gentleman himself, and written in the true spiritof friendly accommodation."
220,1,"He understood that she was in need of adwelling; and though the house he now offered her was merely a cottage,he assured her that everything should be done to it which she mightthink necessary, if the situation pleased her."
221,1,"He earnestly pressedher, after giving the particulars of the house and garden, to come withher daughters to Barton Park, the place of his own residence, fromwhence she might judge, herself, whether Barton Cottage, for the houseswere in the same parish, could, by any alteration, be made comfortableto her."
222,1,He seemed really anxious to accommodate them and the whole ofhis letter was written in so friendly a style as could not fail ofgiving pleasure to his cousin; more especially at a moment when she wassuffering under the cold and unfeeling behaviour of her nearerconnections.
223,1,She needed no time for deliberation or inquiry.
224,1,Herresolution was formed as she read.
225,1,"The situation of Barton, in a countyso far distant from Sussex as Devonshire, which, but a few hoursbefore, would have been a sufficient objection to outweigh everypossible advantage belonging to the place, was now its firstrecommendation."
226,1,"To quit the neighbourhood of Norland was no longer anevil; it was an object of desire; it was a blessing, in comparison ofthe misery of continuing her daughter-in-law’s guest; and to remove forever from that beloved place would be less painful than to inhabit orvisit it while such a woman was its mistress."
227,1,"She instantly wrote SirJohn Middleton her acknowledgment of his kindness, and her acceptanceof his proposal; and then hastened to show both letters to herdaughters, that she might be secure of their approbation before heranswer were sent.Elinor had always thought it would be more prudent for them to settleat some distance from Norland, than immediately amongst their presentacquaintance."
